 X, Y, W, T
0.74,0.12,0.03,21.37
0.66,0.18,0.12,21.35
0.67,0.1,0.23,21.42
0.63,0.17,0.22,21.34
0.21,-0.14,0.12,21.71
0.25,0,0.08,21.66
0.56,0.04,0.2,21.26
0.26,-0.06,0.11,21.41
0.24,0.02,-0.03,21.5
0.23,0.03,-0.09,21.62
0.27,-0.03,0.02,21.49
0.34,0.01,0.06,21.41
0.33,-0.01,0.09,21.54
0.58,-0.02,0.22,21.47
0.6,0.04,0.05,21.46
0.53,-0.06,0.09,21.42
0.44,0.02,0,21.47
0.51,0.14,-0.04,21.47
0.55,-0.05,0.04,21.46
0.51,-0.03,0.06,21.57
0.59,0.11,0.12,21.46
0.66,0.04,0.17,21.45
0.54,0.19,-0.01,21.56
0.39,-0.05,0.1,21.56
0.47,-0.03,0.08,21.56
0.64,-0.05,0.04,21.31
0.59,-0.07,0.07,21.24
0.58,0.04,-0.01,21.29
0.68,0.15,0.14,21.28
0.17,-0.06,0.19,21.58
0.15,-0.01,0.15,21.61
0.1,-0.09,0.13,21.46
0.35,-0.03,0.06,21.4
0.35,-0.08,0.13,21.38
0.35,-0.07,0.15,21.46
0.27,-0.01,0.12,21.58
0.21,-0.02,0.06,21.63
0.25,-0.03,0.1,21.72
0.23,-0.01,0.08,21.7
0.25,-0.04,0.04,21.54
0.37,-0.08,0.14,21.35
0.28,-0.03,0,21.41
0.26,-0.04,0.05,21.52
0.4,-0.03,0.05,21.34
0.38,-0.04,0.2,21.37
0.47,-0.04,-0.03,21.36
0.69,-0.02,0.14,21.24
0.75,0.07,0.21,21.28
0.61,0.17,0.3,21.35
0.33,-0.07,0.13,21.5
0.62,0.08,0.21,21.33
0.36,-0.11,0.01,21.49
0.69,0.08,0.03,21.28
0.53,0.04,0.24,21.5
0.56,0.07,0.02,21.34
0.65,0.15,0.18,21.38
0.43,0.04,0.2,21.45
0.47,-0.16,0.1,21.42
0.68,-0.03,0,21.31
0.68,0.05,0.1,21.34
0.62,0.08,0.17,21.33
0.33,-0.14,0.14,21.54
0.53,-0.13,0.14,21.44
0.74,0.03,0.22,21.32
0.31,-0.04,-0.02,21.45
0.26,-0.17,0.02,21.61
0.21,0.03,0.12,21.57
0.47,-0.09,0.15,21.25
0.52,-0.1,0.01,21.25
0.74,0.1,0.2,21.17
0.81,0.06,0.15,21.15
0.76,0.01,0.16,21.24
0.46,-0.11,0.12,21.44
0.61,0.05,0.08,21.34
0.66,0.14,0.13,21.26
0.82,0.09,0.17,21.28
0.86,0.13,0.05,21.12
0.9,0.16,0.13,21.12
0.95,0.09,0.19,21.06
0.91,0.16,0.02,21.02
0.78,0.06,0.12,21.2
0.66,0.12,0.13,21.24
0.94,0.18,0.13,21.06
0.74,0.13,0.19,21.25
0.71,0.29,0.23,21.18
0.68,0.12,0.08,21.16
0.84,0.26,0.21,21.14
0.79,0.17,0.19,21.16
0.76,0.19,0.27,21.1
0.44,0.11,0.28,21.34
0.66,-0.02,0.05,21.12
0.65,0.03,0.05,21.2
0.66,0.05,0.1,21.21
0.73,0.06,0.1,21.19
0.5,-0.03,0.06,21.33
0.5,0.01,0.2,21.36
0.4,0.02,0.12,21.38
0.55,0.03,0.14,21.32
0.72,0.11,0.12,21.2
0.65,0.03,0.09,21.29
0.41,-0.07,0.15,21.36
0.34,-0.13,0.05,21.41
0.49,0,0.07,21.45
0.48,0.03,0.1,21.38
0.54,0.02,0.26,21.39
0.42,-0.08,0.03,21.46
0.42,-0.11,0.07,21.42
0.48,-0.04,0.07,21.41
0.31,-0.03,0.05,21.5
0.51,0.01,0.1,21.27
0.45,-0.06,0.19,21.37
0.79,0.02,0.26,21.21
0.59,0.07,0.07,21.24
0.68,-0.01,0.18,21.11
0.6,0.11,0.23,21.12
0.6,0.06,0.09,21.12
0.42,0.01,0.22,21.2
0.5,0.05,0.18,21.35
0.27,-0.13,0.18,21.41
0.38,-0.1,0.13,21.45
0.36,-0.03,0.08,21.34
0.25,0.04,0.1,21.4
0.42,-0.04,0.17,21.31
0.62,0.04,0.09,21.17
0.82,0.11,0.19,21.25
0.96,0.11,0.17,21.05
0.7,0,0.12,21.25
0.53,0.16,0.15,21.43
0.42,-0.06,0.08,21.46
0.57,0.03,0.16,21.23
0.46,0.07,0.12,21.34
0.73,0.14,0.17,21.15
0.5,-0.02,0.01,21.26
0.48,0.05,0.01,21.17
0.58,0.08,0.03,21.24
0.68,0.01,0.11,21.07
0.96,0.07,0.11,20.98
0.65,0.1,0.11,21.15
0.57,0,0.26,21.16
0.4,-0.07,0.12,21.19
0.65,0.04,0.17,21.13
0.56,-0.01,0.09,21.1
0.59,0.04,0.28,21.16
0.65,0.06,0.11,21.12
0.32,-0.02,0.14,21.32
0.32,-0.04,0.16,21.37
0.18,-0.04,0.08,21.41
0.22,-0.13,0.1,21.39
0.41,-0.06,0.11,21.36
0.18,-0.08,0.07,21.43
0.31,-0.02,0,21.34
0.17,0.05,0.04,21.36
0.3,0.02,0.01,21.29
0.28,-0.03,-0.05,21.34
0.14,-0.01,-0.03,21.48
0.36,0.12,-0.04,21.4
0.54,-0.04,0,21.36
0.54,0.01,0.16,21.35
0.32,-0.08,-0.08,21.46
0.43,0.02,0.21,21.27
0.44,0,0.04,21.32
0.46,0.02,0.18,21.3
0.53,-0.12,0.15,21.41
0.49,0.02,0.07,21.36
0.66,-0.02,0.03,21.22
0.62,0.16,0.11,21.29
0.66,0.04,0.17,21.21
0.58,0.01,0.1,21.33
0.77,0.06,0.2,21.33
0.6,0.05,0.09,21.25
0.7,0.02,0.11,21.23
0.54,0.03,0.04,21.3
0.66,0.05,0.14,21.2
0.55,-0.04,0.09,21.32
0.59,0.15,0.12,21.32
0.52,0.06,0.09,21.32
0.41,-0.05,0.15,21.27
0.69,0.04,0.08,21.18
0.48,0,0.12,21.29
0.54,0.06,0.05,21.18
0.61,0.03,-0.02,21.16
0.78,0.01,0.13,21.12
0.83,0.07,0.17,21.19
0.37,-0.11,0.17,21.4
0.56,0.06,0.15,21.31
0.49,-0.1,0.05,21.34
0.42,0,0.03,21.4
0.7,-0.01,0.07,21.12
0.64,0.08,0.2,21.26
0.42,-0.06,0.08,21.32
0.46,-0.11,0.2,21.32
0.27,-0.07,0.15,21.42
0.33,-0.12,0.12,21.24
0.59,0.06,0.13,21.27
0.5,-0.03,0.09,21.31
0.58,-0.04,0.06,21.36
0.63,0.09,0.05,21.31
0.72,0.36,0.23,21.3
0.79,0.19,0.19,21.27
0.87,0.18,0.23,21.15
0.7,0.22,0.15,21.21
0.56,0.25,0.2,21.28
0.23,0.11,0.22,21.41
0.53,0.04,0.1,21.19
0.74,0.12,0.21,21.2
0.41,0.15,0.24,21.36
0.63,-0.05,0.16,21.26
0.79,0.08,0.24,21.25
0.85,0.15,0.17,21.21
0.65,0.09,0.17,21.19
0.68,0.04,0.07,21.27
0.54,0.03,0.18,21.29
0.37,0.02,0.11,21.36
0.38,-0.07,0.17,21.33
0.43,-0.01,0.17,21.3
0.87,-0.01,0.08,21.17
0.86,0.11,0.13,21.25
0.67,0.13,0.15,21.28
0.38,-0.05,0.11,21.32
0.51,0,0.19,21.3
0.48,0.08,0.26,21.31
0.71,0.04,0.09,21.22
0.87,0.07,0.16,21.16
0.77,0.23,-0.01,21.2
0.78,0.12,0.17,21.25
0.86,0.15,0.08,21.17
0.81,0.01,0.12,21.15
0.94,0.06,0.12,21.05
0.74,0.15,0.06,21.23
0.6,0.22,0.22,21.33
0.88,0.2,0.28,21.19
1,0.09,0.17,21.15
0.82,-0.02,0.09,21.24
0.82,0.15,0.17,21.19
0.58,-0.09,0.11,21.21
0.66,0.09,0.2,21.28
0.57,-0.04,0.03,21.34
0.41,-0.08,0.17,21.36
0.38,-0.19,0.13,21.43
0.41,-0.13,0.02,21.43
0.55,-0.01,0.09,21.38
0.82,0.09,0.11,21.29
0.79,0.15,0.11,21.24
0.89,0.17,0.1,21.16
0.6,-0.01,0.12,21.27
0.5,-0.18,0.21,21.33
0.34,-0.12,0.1,21.41
0.45,-0.02,0.14,21.31
0.54,-0.07,-0.01,21.29
0.63,0.01,0,21.24
0.77,0,0.12,21.25
0.78,0.1,0.15,21.31
0.8,0.11,0.18,21.31
0.67,-0.01,-0.03,21.43
0.84,0.12,0.28,21.4
0.59,0.22,0.23,21.43
0.72,0.1,0.05,21.43
0.81,-0.05,0.11,21.34
0.64,0.08,0.2,21.38
0.43,0.06,0.12,21.44
0.31,-0.12,0.13,21.4
0.36,-0.14,0.13,21.38
0.16,-0.18,0.02,21.49
0.21,-0.01,0.05,21.47
0.4,-0.02,0.08,21.36
0.51,-0.05,0.25,21.39
0.46,0.02,0.12,21.36
0.57,-0.11,0.17,21.34
0.62,-0.13,0.08,21.29
0.37,-0.07,0.09,21.37
0.37,0.01,0.1,21.34
0.66,0.13,0.17,21.32
0.8,0.09,0.15,21.28
0.63,-0.06,0.01,21.39
0.67,0.1,0.16,21.43
0.72,0.11,0.2,21.41
0.6,-0.03,0.19,21.42
0.58,0.02,0.23,21.42
0.46,0.02,0.18,21.43
0.34,0.11,0.24,21.47
0.72,-0.03,0.15,21.3
0.75,0.09,0.14,21.34
0.59,0.02,0.07,21.42
0.53,0,0.23,21.44
0.62,0.03,0.12,21.48
0.46,-0.07,0.17,21.58
0.55,0.1,0.22,21.57
0.38,-0.06,0.18,21.58
0.53,-0.03,0.2,21.48
0.36,-0.11,0.14,21.58
0.41,-0.05,0.16,21.54
0.58,0,0.12,21.47
0.62,0.06,0.12,21.43
0.65,-0.02,0.09,21.42
0.71,0.04,0.15,21.3
0.61,0.02,0.13,21.36
0.8,0.08,0.04,21.34
0.91,0.16,0.22,21.3
0.94,0.14,0.15,21.35
1.01,0.07,0.1,21.25
0.67,0.21,0.22,21.38
0.79,0.06,0.13,21.34
0.74,-0.03,0.13,21.35
